Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-12-05,24545057009666.98,6807740917611.00,31352797927277.98,1,2023,1,2022,4,12,05
2022-12-02,24546284664471.75,6803852701618.11,31350137366089.86,1,2023,1,2022,4,12,02
2022-12-01,24548085263208.48,6815139225725.85,31363224488934.33,1,2023,1,2022,4,12,01
2022-11-30,24553456579697.93,6859865885618.37,31413322465316.30,1,2023,1,2022,4,11,30
2022-11-29,24518730678216.08,6855104860475.34,31373835538691.42,1,2023,1,2022,4,11,29
2022-11-28,24522908434421.07,6847909609694.73,31370818044115.80,1,2023,1,2022,4,11,28
2022-11-25,24524431584946.76,6843350600328.40,31367782185275.16,1,2023,1,2022,4,11,25
2022-11-23,24498705045728.79,6835328364836.04,31334033410564.83,1,2023,1,2022,4,11,23
2022-11-22,24498940310307.41,6849522229857.35,31348462540164.76,1,2023,1,2022,4,11,22
2022-11-21,24445710962416.74,6841630894616.68,31287341857033.42,1,2023,1,2022,4,11,21
2022-11-18,24445286394751.42,6837394972193.86,31282681366945.28,1,2023,1,2022,4,11,18
2022-11-17,24445390138404.45,6839810386593.25,31285200524997.70,1,2023,1,2022,4,11,17
2022-11-16,24440834832198.03,6830838776892.18,31271673609090.21,1,2023,1,2022,4,11,16
2022-11-15,24439731241217.50,6848442033787.73,31288173275005.23,1,2023,1,2022,4,11,15
2022-11-14,24422187334127.25,6833093859910.44,31255281194037.69,1,2023,1,2022,4,11,14
2022-11-10,24421759397777.80,6830252554628.80,31252011952406.60,1,2023,1,2022,4,11,10
2022-11-09,24415475380398.35,6828167595385.84,31243642975784.19,1,2023,1,2022,4,11,09
2022-11-08,24414960171859.34,6846677045882.00,31261637217741.34,1,2023,1,2022,4,11,08
2022-11-07,24386696051495.91,6836841623070.59,31223537674566.50,1,2023,1,2022,4,11,07
2022-11-04,24386136917562.59,6833994714013.79,31220131631576.38,1,2023,1,2022,4,11,04
2022-11-03,24386445346851.25,6832500073416.31,31218945420267.56,1,2023,1,2022,4,11,03
2022-11-02,24378672839101.38,6843169830692.35,31221842669793.73,1,2023,1,2022,4,11,02
2022-11-01,24378511504145.56,6833222137728.42,31211733641873.98,1,2023,1,2022,4,11,01
2022-10-31,24352541663465.59,6885759485893.93,31238301149359.52,1,2023,1,2022,4,10,31
2022-10-28,24375346150436.82,6881061648828.00,31256407799264.82,1,2023,1,2022,4,10,28
2022-10-27,24374113303700.19,6883641435546.75,31257754739246.94,1,2023,1,2022,4,10,27
2022-10-26,24371286875157.24,6880977664498.74,31252264539655.98,1,2023,1,2022,4,10,26
2022-10-25,24370660275741.41,6897141188889.02,31267801464630.43,1,2023,1,2022,4,10,25
2022-10-24,24347817271984.35,6882327396966.05,31230144668950.40,1,2023,1,2022,4,10,24
2022-10-21,24347298846397.92,6881294624487.35,31228593470885.27,1,2023,1,2022,4,10,21
2022-10-20,24347230421264.75,6879546823056.13,31226777244320.88,1,2023,1,2022,4,10,20
2022-10-19,24349997077337.59,6871580817961.73,31221577895299.32,1,2023,1,2022,4,10,19
2022-10-18,24349884301200.28,6889123229662.68,31239007530862.96,1,2023,1,2022,4,10,18
2022-10-17,24337797792146.07,6873628200679.08,31211425992825.15,1,2023,1,2022,4,10,17
2022-10-14,24285155079568.71,6863069122179.60,31148224201748.31,1,2023,1,2022,4,10,14
2022-10-13,24285309326318.59,6859643403011.61,31144952729330.20,1,2023,1,2022,4,10,13
2022-10-12,24284135644567.68,6859579034417.00,31143714678984.68,1,2023,1,2022,4,10,12
2022-10-11,24284148392021.21,6867466508167.58,31151614900188.79,1,2023,1,2022,4,10,11
2022-10-07,24289555258726.70,6859331563771.16,31148886822497.86,1,2023,1,2022,4,10,07
2022-10-06,24289853540356.64,6859266200918.03,31149119741274.67,1,2023,1,2022,4,10,06
2022-10-05,24288995636259.98,6853595671000.03,31142591307260.01,1,2023,1,2022,4,10,05
2022-10-04,24288376193590.75,6848642913463.43,31137019107054.18,1,2023,1,2022,4,10,04
2022-10-03,24294113407974.24,6829774373427.10,31123887781401.34,1,2023,1,2022,4,10,03
2022-09-30,24299192620158.51,6629718993148.22,30928911613306.73,1,2022,4,2022,3,09,30
2022-09-29,24252296040720.49,6619068314658.76,30871364355379.25,1,2022,4,2022,3,09,29
2022-09-28,24251147924159.27,6636117250859.31,30887265175018.58,1,2022,4,2022,3,09,28
2022-09-27,24251204677164.30,6654885336784.99,30906090013949.29,1,2022,4,2022,3,09,27
2022-09-26,24261991624316.95,6648240894466.64,30910232518783.59,1,2022,4,2022,3,09,26
2022-09-23,24261913752067.08,6637468094777.60,30899381846844.68,1,2022,4,2022,3,09,23
2022-09-22,24262119192823.44,6632701730433.94,30894820923257.38,1,2022,4,2022,3,09,22
2022-09-21,24259893533913.04,6626370352664.43,30886263886577.47,1,2022,4,2022,3,09,21
2022-09-20,24259860964887.67,6642163307342.82,30902024272230.49,1,2022,4,2022,3,09,20
2022-09-19,24269365041132.85,6631247250276.68,30900612291409.53,1,2022,4,2022,3,09,19
2022-09-16,24269701912640.61,6620897283863.85,30890599196504.46,1,2022,4,2022,3,09,16
2022-09-15,24269208569512.02,6617626647501.98,30886835217014.00,1,2022,4,2022,3,09,15
2022-09-14,24277735795734.93,6608104618427.33,30885840414162.26,1,2022,4,2022,3,09,14
2022-09-13,24277091954661.92,6625347235484.08,30902439190146.00,1,2022,4,2022,3,09,13
2022-09-12,24277951601745.72,6620250167006.02,30898201768751.74,1,2022,4,2022,3,09,12
2022-09-09,24277780650175.09,6616313473208.45,30894094123383.54,1,2022,4,2022,3,09,09
2022-09-08,24277401630153.32,6616721459966.12,30894123090119.44,1,2022,4,2022,3,09,08
2022-09-07,24275742755323.11,6622133870686.20,30897876626009.31,1,2022,4,2022,3,09,07
2022-09-06,24273892938014.51,6614009088830.26,30887902026844.77,1,2022,4,2022,3,09,06
2022-09-02,24265249353650.98,6606786130363.50,30872035484014.48,1,2022,4,2022,3,09,02
2022-09-01,24265237267051.03,6614126256805.85,30879363523856.88,1,2022,4,2022,3,09,01
2022-08-31,24267551242280.32,6668523972602.09,30936075214882.41,1,2022,4,2022,3,08,31
2022-08-30,24216548517136.84,6662551003248.14,30879099520384.98,1,2022,4,2022,3,08,30
2022-08-29,24195947091069.71,6656205269306.38,30852152360376.09,1,2022,4,2022,3,08,29
2022-08-26,24193808246140.62,6653184601954.04,30846992848094.66,1,2022,4,2022,3,08,26
2022-08-25,24170525091479.93,6653855517282.95,30824380608762.88,1,2022,4,2022,3,08,25
2022-08-24,24109361188937.07,6642467161463.08,30751828350400.15,1,2022,4,2022,3,08,24
2022-08-23,24109372250554.94,6668065382631.71,30777437633186.65,1,2022,4,2022,3,08,23
2022-08-22,24087312326304.38,6652980278923.47,30740292605227.85,1,2022,4,2022,3,08,22
2022-08-19,24084753661617.55,6646638290748.80,30731391952366.35,1,2022,4,2022,3,08,19
2022-08-18,24084274136453.14,6645639407365.55,30729913543818.69,1,2022,4,2022,3,08,18
2022-08-17,24082096945371.80,6642301608778.11,30724398554149.91,1,2022,4,2022,3,08,17
2022-08-16,24081843468911.97,6654745840151.54,30736589309063.51,1,2022,4,2022,3,08,16
2022-08-15,24051002065916.77,6644426581211.61,30695428647128.38,1,2022,4,2022,3,08,15
2022-08-12,24029790764887.23,6632109856312.75,30661900621199.98,1,2022,4,2022,3,08,12
2022-08-11,24029273779535.94,6630984025364.79,30660257804900.73,1,2022,4,2022,3,08,11
2022-08-10,24028355531684.22,6628126123442.95,30656481655127.17,1,2022,4,2022,3,08,10
2022-08-09,24027688178378.89,6624213485619.08,30651901663997.97,1,2022,4,2022,3,08,09
2022-08-08,23986683311303.22,6614242183344.44,30600925494647.66,1,2022,4,2022,3,08,08
2022-08-05,23983838470700.05,6605441764159.29,30589280234859.34,1,2022,4,2022,3,08,05
2022-08-04,23983681402419.74,6604894986692.72,30588576389112.46,1,2022,4,2022,3,08,04
2022-08-03,23982581351353.18,6598676476767.61,30581257828120.79,1,2022,4,2022,3,08,03
2022-08-02,23982476636558.98,6613492934210.79,30595969570769.77,1,2022,4,2022,3,08,02
2022-08-01,23941782429899.12,6594628110655.06,30536410540554.18,1,2022,4,2022,3,08,01
2022-07-29,23952579183056.89,6642529384133.17,30595108567190.06,1,2022,4,2022,3,07,29
2022-07-28,23934024135680.86,6646901251175.86,30580925386856.72,1,2022,4,2022,3,07,28
2022-07-27,23938026629298.98,6643604020967.56,30581630650266.54,1,2022,4,2022,3,07,27
2022-07-26,23937355436875.30,6660907485974.42,30598262922849.72,1,2022,4,2022,3,07,26
2022-07-25,23896763874312.44,6646795950868.96,30543559825181.40,1,2022,4,2022,3,07,25
2022-07-22,23894509345529.13,6635363912123.91,30529873257653.04,1,2022,4,2022,3,07,22
2022-07-21,23893927868017.57,6633669823269.19,30527597691286.76,1,2022,4,2022,3,07,21
2022-07-20,23905417095182.62,6626612810259.54,30532029905442.16,1,2022,4,2022,3,07,20
2022-07-19,23904694525375.66,6648969370284.60,30553663895660.26,1,2022,4,2022,3,07,19
2022-07-18,23888760234588.95,6634980813885.83,30523741048474.78,1,2022,4,2022,3,07,18
2022-07-15,23886461499060.70,6628837094877.06,30515298593937.76,1,2022,4,2022,3,07,15
2022-07-14,23869748457708.38,6622970283512.88,30492718741221.26,1,2022,4,2022,3,07,14
2022-07-13,23884607386844.94,6622245836856.72,30506853223701.66,1,2022,4,2022,3,07,13
2022-07-12,23884255855136.96,6640726273714.10,30524982128851.06,1,2022,4,2022,3,07,12
2022-07-11,23888492594959.37,6630808408433.88,30519301003393.25,1,2022,4,2022,3,07,11
2022-07-08,23885954225244.84,6622339584264.49,30508293809509.33,1,2022,4,2022,3,07,08
2022-07-07,23887764405631.71,6618471936243.31,30506236341875.02,1,2022,4,2022,3,07,07
2022-07-06,23907379587637.67,6616381594039.57,30523761181677.24,1,2022,4,2022,3,07,06
2022-07-05,23905300285648.70,6594467344393.95,30499767630042.65,1,2022,4,2022,3,07,05
2022-07-01,23907043409165.39,6579125390132.29,30486168799297.68,1,2022,4,2022,3,07,01
2022-06-30,23912159729664.37,6656422299394.58,30568582029058.95,1,2022,3,2022,2,06,30
2022-06-29,23874314385857.11,6597631021175.43,30471945407032.54,1,2022,3,2022,2,06,29
2022-06-28,23874198004998.78,6598433496346.47,30472631501345.25,1,2022,3,2022,2,06,28
2022-06-27,23877620707674.42,6587858195386.72,30465478903061.14,1,2022,3,2022,2,06,27
2022-06-24,23876061756550.94,6583056323308.76,30459118079859.70,1,2022,3,2022,2,06,24
2022-06-23,23852955061361.41,6569340988851.23,30422296050212.64,1,2022,3,2022,2,06,23
2022-06-22,23871683179793.21,6566757852466.19,30438441032259.40,1,2022,3,2022,2,06,22
2022-06-21,23870090956247.71,6574260867761.71,30444351824009.42,1,2022,3,2022,2,06,21
2022-06-17,23879069528264.11,6568655037314.78,30447724565578.89,1,2022,3,2022,2,06,17
2022-06-16,23876682603860.46,6559957560767.33,30436640164627.79,1,2022,3,2022,2,06,16
2022-06-15,23899977909751.77,6550450080061.52,30450427989813.29,1,2022,3,2022,2,06,15
2022-06-14,23840725394402.90,6561646614972.90,30402372009375.80,1,2022,3,2022,2,06,14
2022-06-13,23849889487367.57,6551339335949.99,30401228823317.56,1,2022,3,2022,2,06,13
2022-06-10,23849474859571.62,6546487683962.71,30395962543534.33,1,2022,3,2022,2,06,10
2022-06-09,23849445135818.63,6547319103870.67,30396764239689.30,1,2022,3,2022,2,06,09
2022-06-08,23872735297279.37,6543748050152.94,30416483347432.31,1,2022,3,2022,2,06,08
2022-06-07,23872184873595.67,6545402258350.49,30417587131946.16,1,2022,3,2022,2,06,07
2022-06-06,23882174574916.76,6538712644458.26,30420887219375.02,1,2022,3,2022,2,06,06
2022-06-03,23880625503340.64,6531925121436.12,30412550624776.76,1,2022,3,2022,2,06,03
2022-06-02,23880949611916.73,6544709461402.31,30425659073319.04,1,2022,3,2022,2,06,02
2022-06-01,23901123998249.97,6539854091006.74,30440978089256.71,1,2022,3,2022,2,06,01
2022-05-31,23904391446377.85,6595227074868.94,30499618521246.79,1,2022,3,2022,2,05,31
2022-05-27,23832623846690.77,6591867471536.73,30424491318227.50,1,2022,3,2022,2,05,27
2022-05-26,23809737647931.04,6591847395776.43,30401585043707.47,1,2022,3,2022,2,05,26
2022-05-25,23833748517379.58,6587178810171.32,30420927327550.90,1,2022,3,2022,2,05,25
2022-05-24,23832717230524.74,6603767982848.62,30436485213373.36,1,2022,3,2022,2,05,24
2022-05-23,23841258077655.25,6584014510460.00,30425272588115.25,1,2022,3,2022,2,05,23
2022-05-20,23838574996348.87,6577983373773.27,30416558370122.14,1,2022,3,2022,2,05,20
2022-05-19,23840146048104.13,6577144170484.47,30417290218588.60,1,2022,3,2022,2,05,19
2022-05-18,23862533970642.43,6571104193016.76,30433638163659.19,1,2022,3,2022,2,05,18
2022-05-17,23861554218139.08,6587363460814.50,30448917678953.58,1,2022,3,2022,2,05,17
2022-05-16,23873830600715.82,6572378491973.29,30446209092689.11,1,2022,3,2022,2,05,16
2022-05-13,23819289486265.17,6564009782614.36,30383299268879.53,1,2022,3,2022,2,05,13
2022-05-12,23818175829206.51,6564094520052.19,30382270349258.70,1,2022,3,2022,2,05,12
2022-05-11,23836594143128.62,6559682938976.88,30396277082105.50,1,2022,3,2022,2,05,11
2022-05-10,23836187718547.96,6577159911721.09,30413347630269.05,1,2022,3,2022,2,05,10
2022-05-09,23848804616521.92,6565883059265.05,30414687675786.97,1,2022,3,2022,2,05,09
2022-05-06,23846960649213.85,6558908353859.35,30405869003073.20,1,2022,3,2022,2,05,06
2022-05-05,23844952001831.40,6554345357455.08,30399297359286.48,1,2022,3,2022,2,05,05
2022-05-04,23864363727716.02,6545769270504.14,30410132998220.16,1,2022,3,2022,2,05,04
2022-05-03,23862621422333.01,6540776961795.45,30403398384128.46,1,2022,3,2022,2,05,03
2022-05-02,23875234532634.35,6527387368378.16,30402621901012.51,1,2022,3,2022,2,05,02
2022-04-29,23847245116757.60,6526909395140.41,30374154511898.01,1,2022,3,2022,2,04,29
2022-04-28,23824798178720.12,6577782321533.87,30402580500253.99,1,2022,3,2022,2,04,28
2022-04-27,23835678346099.82,6580928953645.39,30416607299745.21,1,2022,3,2022,2,04,27
2022-04-26,23833250536651.21,6596692615943.35,30429943152594.56,1,2022,3,2022,2,04,26
2022-04-25,23847559906008.04,6589039100614.77,30436599006622.81,1,2022,3,2022,2,04,25
2022-04-22,23845724960882.41,6575170904191.14,30420895865073.55,1,2022,3,2022,2,04,22
2022-04-21,23844948076493.78,6572873202360.61,30417821278854.39,1,2022,3,2022,2,04,21
2022-04-20,23844550883060.78,6564469860414.03,30409020743474.81,1,2022,3,2022,2,04,20
2022-04-19,23844892472878.59,6579138738222.27,30424031211100.86,1,2022,3,2022,2,04,19
2022-04-18,23868824106796.53,6551821953174.27,30420646059970.80,1,2022,3,2022,2,04,18
2022-04-15,23742712293275.44,6540488115909.63,30283200409185.07,1,2022,3,2022,2,04,15
2022-04-14,23831840440480.41,6516287937706.05,30348128378186.46,1,2022,3,2022,2,04,14
2022-04-13,23827992412843.03,6509956115038.06,30337948527881.09,1,2022,3,2022,2,04,13
2022-04-12,23827481704084.16,6525634451316.09,30353116155400.25,1,2022,3,2022,2,04,12
2022-04-11,23850958883454.16,6515190901322.40,30366149784776.56,1,2022,3,2022,2,04,11
2022-04-08,23849447857187.93,6508805515338.89,30358253372526.82,1,2022,3,2022,2,04,08
2022-04-07,23850625204969.95,6504935773837.47,30355560978807.42,1,2022,3,2022,2,04,07
2022-04-06,23847773785495.59,6498970051447.93,30346743836943.52,1,2022,3,2022,2,04,06
2022-04-05,23848224477303.94,6496535251126.03,30344759728429.97,1,2022,3,2022,2,04,05
2022-04-04,23877671033998.57,6482571354884.25,30360242388882.82,1,2022,3,2022,2,04,04
2022-04-01,23876871508574.59,6464859412839.09,30341730921413.68,1,2022,3,2022,2,04,01
2022-03-31,23879767750374.44,6521192177806.53,30400959928180.97,1,2022,2,2022,1,03,31
2022-03-30,23774952716381.74,6522773025833.11,30297725742214.85,1,2022,2,2022,1,03,30
2022-03-29,23774340616832.05,6521317612945.30,30295658229777.35,1,2022,2,2022,1,03,29
2022-03-28,23804407189474.30,6512008255649.32,30316415445123.62,1,2022,2,2022,1,03,28
2022-03-25,23802522106432.78,6507939873264.30,30310461979697.08,1,2022,2,2022,1,03,25
2022-03-24,23779423004315.70,6499223891513.29,30278646895828.99,1,2022,2,2022,1,03,24
2022-03-23,23778997678615.26,6499419654752.79,30278417333368.05,1,2022,2,2022,1,03,23
2022-03-22,23777405061375.42,6513638697157.18,30291043758532.60,1,2022,2,2022,1,03,22
2022-03-21,23789792101768.08,6503147999534.63,30292940101302.71,1,2022,2,2022,1,03,21
2022-03-18,23787659867729.49,6496915869938.85,30284575737668.34,1,2022,2,2022,1,03,18
2022-03-17,23786300309155.52,6495682618972.40,30281982928127.92,1,2022,2,2022,1,03,17
2022-03-16,23773649542061.15,6483343624238.37,30256993166299.52,1,2022,2,2022,1,03,16
2022-03-15,23772836781526.72,6496526705520.43,30269363487047.15,1,2022,2,2022,1,03,15
2022-03-14,23706410557359.65,6486332579139.86,30192743136499.51,1,2022,2,2022,1,03,14
2022-03-11,23704961287210.77,6466386386466.36,30171347673677.13,1,2022,2,2022,1,03,11
2022-03-10,23703290948350.70,6465864713794.31,30169155662145.01,1,2022,2,2022,1,03,10
2022-03-09,23756649906514.66,6482385906913.23,30239035813427.89,1,2022,2,2022,1,03,09
2022-03-08,23756027666634.96,6499095186047.86,30255122852682.82,1,2022,2,2022,1,03,08
2022-03-07,23769812566803.95,6485849737396.72,30255662304200.67,1,2022,2,2022,1,03,07
2022-03-04,23768629464692.05,6479464483298.34,30248093947990.39,1,2022,2,2022,1,03,04
2022-03-03,23767848090519.97,6478068252485.80,30245916343005.77,1,2022,2,2022,1,03,03
2022-03-02,23761655231136.13,6489948843629.01,30251604074765.14,1,2022,2,2022,1,03,02
2022-03-01,23760884566152.14,6479014315903.30,30239898882055.44,1,2022,2,2022,1,03,01
2022-02-28,23776559880654.69,6513792792133.57,30290352672788.26,1,2022,2,2022,1,02,28
2022-02-25,23674701459931.29,6506604580769.81,30181306040701.10,1,2022,2,2022,1,02,25
2022-02-24,23650094462737.71,6506650764801.72,30156745227539.43,1,2022,2,2022,1,02,24
2022-02-23,23643313423251.08,6504427056025.24,30147740479276.32,1,2022,2,2022,1,02,23
2022-02-22,23640796749421.98,6508806072796.29,30149602822218.27,1,2022,2,2022,1,02,22
2022-02-18,23639007666740.88,6497867387813.21,30136875054554.09,1,2022,2,2022,1,02,18
2022-02-17,23638496766854.49,6478097336074.77,30116594102929.26,1,2022,2,2022,1,02,17
2022-02-16,23630364799178.54,6487079732399.14,30117444531577.68,1,2022,2,2022,1,02,16
2022-02-15,23629210092090.68,6502537047511.72,30131747139602.40,1,2022,2,2022,1,02,15
2022-02-14,23553290709911.88,6487030474116.35,30040321184028.23,1,2022,2,2022,1,02,14
2022-02-11,23552900361237.27,6484655856940.95,30037556218178.22,1,2022,2,2022,1,02,11
2022-02-10,23552446303427.89,6483721603015.82,30036167906443.71,1,2022,2,2022,1,02,10
2022-02-09,23546381809272.50,6479933811019.76,30026315620292.26,1,2022,2,2022,1,02,09
2022-02-08,23546487028994.99,6497821682218.56,30044308711213.55,1,2022,2,2022,1,02,08
2022-02-07,23520665528247.36,6485893966540.76,30006559494788.12,1,2022,2,2022,1,02,07
2022-02-04,23520871235145.52,6479864711822.47,30000735946967.99,1,2022,2,2022,1,02,04
2022-02-03,23520768810384.49,6476579254968.15,29997348065352.64,1,2022,2,2022,1,02,03
2022-02-02,23514973913252.55,6488240088064.54,30003214001317.09,1,2022,2,2022,1,02,02
2022-02-01,23514256725319.07,6492447128389.61,30006703853708.68,1,2022,2,2022,1,02,01
2022-01-31,23487180861724.36,6525205197513.93,30012386059238.29,1,2022,2,2022,1,01,31
2022-01-28,23396713465058.67,6526833830092.60,29923547295151.27,1,2022,2,2022,1,01,28
2022-01-27,23396325976939.30,6527943664906.81,29924269641846.11,1,2022,2,2022,1,01,27
2022-01-26,23389827511089.61,6521199434107.83,29911026945197.44,1,2022,2,2022,1,01,26
2022-01-25,23388573688602.23,6534336495208.69,29922910183810.92,1,2022,2,2022,1,01,25
2022-01-24,23359986549166.17,6521290965111.63,29881277514277.80,1,2022,2,2022,1,01,24
2022-01-21,23358107262787.03,6514370786251.44,29872478049038.47,1,2022,2,2022,1,01,21
2022-01-20,23357247989199.74,6509773520374.18,29867021509573.92,1,2022,2,2022,1,01,20
2022-01-19,23344873734139.90,6505745955544.80,29850619689684.70,1,2022,2,2022,1,01,19
2022-01-18,23343151893368.79,6525635078786.37,29868786972155.16,1,2022,2,2022,1,01,18
2022-01-14,23257604801754.91,6487351075953.81,29744955877708.72,1,2022,2,2022,1,01,14
2022-01-13,23257631673763.52,6486724689302.40,29744356363065.92,1,2022,2,2022,1,01,13
2022-01-12,23298964278988.09,6483296647274.81,29782260926262.90,1,2022,2,2022,1,01,12
2022-01-11,23297954520520.72,6500731900538.69,29798686421059.41,1,2022,2,2022,1,01,11
2022-01-10,23231536681984.59,6489779559528.28,29721316241512.87,1,2022,2,2022,1,01,10
2022-01-07,23229647025413.05,6482559783871.63,29712206809284.68,1,2022,2,2022,1,01,07
2022-01-06,23229972540996.60,6481300519207.24,29711273060203.84,1,2022,2,2022,1,01,06
2022-01-05,23214140155933.97,6474571643749.92,29688711799683.89,1,2022,2,2022,1,01,05
2022-01-04,23211833164968.02,6472962562330.75,29684795727298.77,1,2022,2,2022,1,01,04
2022-01-03,23144361951919.29,6417552027181.30,29561913979100.59,1,2022,2,2022,1,01,03
2021-12-31,23143747354717.21,6473467501334.54,29617214856051.75,1,2022,1,2021,4,12,31
2021-12-30,23032719604617.45,6462083263348.15,29494802867965.60,1,2022,1,2021,4,12,30
2021-12-29,23014779515683.95,6458971638975.97,29473751154659.92,1,2022,1,2021,4,12,29
2021-12-28,23011724666665.37,6458477106364.37,29470201773029.74,1,2022,1,2021,4,12,28
2021-12-27,22942742141336.90,6449757804153.00,29392499945489.90,1,2022,1,2021,4,12,27
2021-12-24,22938681857522.76,6427805421108.45,29366487278631.21,1,2022,1,2021,4,12,24
2021-12-23,22938284268590.05,6426561647888.93,29364845916478.98,1,2022,1,2021,4,12,23
2021-12-22,22954312648527.14,6416806381348.80,29371119029875.94,1,2022,1,2021,4,12,22
2021-12-21,22891867408153.57,6431749701910.68,29323617110064.25,1,2022,1,2021,4,12,21
2021-12-20,22804697508280.00,6422536842557.28,29227234350837.28,1,2022,1,2021,4,12,20
2021-12-17,22801698897579.86,6417463263056.68,29219162160636.54,1,2022,1,2021,4,12,17
2021-12-16,22799216577400.12,6407065020029.51,29206281597429.63,1,2022,1,2021,4,12,16
2021-12-15,22571130981329.51,6336860974643.87,28907991955973.38,1,2022,1,2021,4,12,15
2021-12-14,22674771054977.96,6233233752317.17,28908004807295.13,1,2022,1,2021,4,12,14
2021-12-13,22684045769218.64,6223959088226.48,28908004857445.12,1,2022,1,2021,4,12,13
2021-12-10,22686899887990.36,6221143753458.05,28908043641448.41,1,2022,1,2021,4,12,10
2021-12-09,22686195368295.52,6221861202318.35,28908056570613.87,1,2022,1,2021,4,12,09
2021-12-08,22688938594240.60,6219092616833.23,28908031211073.83,1,2022,1,2021,4,12,08
2021-12-07,22679802644448.84,6228241369802.67,28908044014251.51,1,2022,1,2021,4,12,07
2021-12-06,22685354502861.49,6222688465677.85,28908042968539.34,1,2022,1,2021,4,12,06
2021-12-03,22688917422422.73,6219163444678.46,28908080867101.19,1,2022,1,2021,4,12,03
2021-12-02,22691973960299.16,6216119538689.30,28908093498988.46,1,2022,1,2021,4,12,02
2021-12-01,22679533846580.46,6228440721342.33,28907974567922.79,1,2022,1,2021,4,12,01
2021-11-30,22645911986862.15,6262074927758.33,28907986914620.48,1,2022,1,2021,4,11,30
2021-11-29,22645683122576.67,6262951797949.74,28908634920526.41,1,2022,1,2021,4,11,29
2021-11-26,22648879890396.04,6259792076507.21,28908671966903.25,1,2022,1,2021,4,11,26
2021-11-24,22651368137283.30,6257294871117.29,28908663008400.59,1,2022,1,2021,4,11,24
2021-11-23,22645808245114.56,6262866974321.33,28908675219435.89,1,2022,1,2021,4,11,23
2021-11-22,22657307458326.65,6251366198424.50,28908673656751.15,1,2022,1,2021,4,11,22
2021-11-19,22666452417440.08,6242257495770.04,28908709913210.12,1,2022,1,2021,4,11,19
2021-11-18,22666644776856.15,6242077220336.22,28908721997192.37,1,2022,1,2021,4,11,18
2021-11-17,22670201064177.64,6238505503547.62,28908706567725.26,1,2022,1,2021,4,11,17
2021-11-16,22660119082556.45,6248599546980.48,28908718629536.93,1,2022,1,2021,4,11,16
2021-11-15,22670153105823.14,6238567036630.92,28908720142454.06,1,2022,1,2021,4,11,15
2021-11-12,22677433647927.06,6231323044459.26,28908756692386.32,1,2022,1,2021,4,11,12
2021-11-10,22675886752959.40,6232870097950.09,28908756850909.49,1,2022,1,2021,4,11,10
2021-11-09,22658378416183.86,6250390649598.20,28908769065782.06,1,2022,1,2021,4,11,09
2021-11-08,22666121515143.27,6242649719691.62,28908771234834.89,1,2022,1,2021,4,11,08
2021-11-05,22670992194387.46,6237815687782.93,28908807882170.39,1,2022,1,2021,4,11,05
2021-11-04,22671766540621.87,6237053555790.66,28908820096412.53,1,2022,1,2021,4,11,04
2021-11-03,22675030332554.53,6233712650588.52,28908742983143.05,1,2022,1,2021,4,11,03
2021-11-02,22659988386285.71,6248766742118.55,28908755128404.26,1,2022,1,2021,4,11,02
2021-11-01,22679949022472.05,6228804212527.64,28908753234999.69,1,2022,1,2021,4,11,01
2021-10-29,22637089774173.57,6271675566380.76,28908765340554.33,1,2022,1,2021,4,10,29
2021-10-28,22630942029555.55,6277832702187.16,28908774731742.71,1,2022,1,2021,4,10,28
2021-10-27,22625211651178.41,6283544912155.97,28908756563334.38,1,2022,1,2021,4,10,27
2021-10-26,22610118974697.78,6298649539046.98,28908768513744.76,1,2022,1,2021,4,10,26
2021-10-25,22589729855507.01,6319036640602.84,28908766496109.85,1,2022,1,2021,4,10,25
2021-10-22,22588315019747.81,6320487012676.40,28908802032424.21,1,2022,1,2021,4,10,22
2021-10-21,22527510913093.78,6353722768191.38,28881233681285.16,1,2022,1,2021,4,10,21
2021-10-20,22481409657642.12,6347468734557.11,28828878392199.23,1,2022,1,2021,4,10,20
2021-10-19,22480805952712.50,6361683365947.90,28842489318660.40,1,2022,1,2021,4,10,19
2021-10-18,22474664369899.09,6346610987094.44,28821275356993.53,1,2022,1,2021,4,10,18
2021-10-15,22413003451825.17,6341075331124.93,28754078782950.10,1,2022,1,2021,4,10,15
2021-10-14,22395833436622.80,6332335369770.65,28728168806393.45,1,2022,1,2021,4,10,14
2021-10-13,22151823777639.84,6277020417433.36,28428844195073.20,1,2022,1,2021,4,10,13
2021-10-12,22143378621203.66,6285473674466.66,28428852295670.32,1,2022,1,2021,4,10,12
2021-10-08,22150090021441.85,6278798185715.96,28428888207157.81,1,2022,1,2021,4,10,08
2021-10-07,22153679070742.42,6275220768598.78,28428899839341.20,1,2022,1,2021,4,10,07
2021-10-06,22157751249505.98,6271104791376.86,28428856040882.84,1,2022,1,2021,4,10,06
2021-10-05,22157021989946.12,6271845656985.97,28428867646932.09,1,2022,1,2021,4,10,05
2021-10-04,22179617080290.56,6249254995499.38,28428872075789.94,1,2022,1,2021,4,10,04
2021-10-01,22199006158679.03,6229900789006.28,28428906947685.31,1,2022,1,2021,4,10,01
